#sites	hits	cause
1	1	geometry/mis-sized: width ~8px   (<h1>)
1	1	geometry/mis-sized: width ~64px   (<h2>)
1	1	geometry/mis-sized: width ~512px   (<form>)
1	1	geometry/mis-sized: width ~32px   (<select>)
1	1	geometry/mis-sized: width ~32px   (<form>)
1	1	geometry/mis-sized: width ~16px   (<input>)
1	1	geometry/mis-sized: width ~128px   (<li>)
1	1	geometry/mis-sized: width ~128px   (<h1>)
1	1	geometry/mis-sized: width ~128px   (<button>)
1	1	geometry/mis-sized: height ~8px   (<span>)
1	1	geometry/mis-sized: height ~8px   (<img>)
1	1	geometry/mis-sized: height ~8px   (<form>)
1	1	geometry/mis-sized: height ~8px   (<center>)
1	1	geometry/mis-sized: height ~8px   (<button>)
1	1	geometry/mis-sized: height ~64px   (<main>)
1	1	geometry/mis-sized: height ~64px   (<form>)
1	1	geometry/mis-sized: height ~512px   (<main>)
1	1	geometry/mis-sized: height ~32px   (<section>)
1	1	geometry/mis-sized: height ~32px   (<main>)
1	1	geometry/mis-sized: height ~32px   (<form>)
1	1	geometry/mis-sized: height ~32px   (<fieldset>)
1	1	geometry/mis-sized: height ~256px   (<ul>)
1	1	geometry/mis-sized: height ~256px   (<section>)
1	1	geometry/mis-sized: height ~2048px   (<body>)
1	1	geometry/mis-sized: height ~16px   (<ticker-storm>)
1	1	geometry/mis-sized: height ~16px   (<input>)
1	1	geometry/mis-sized: height ~16px   (<aside>)
1	1	geometry/mis-sized: height ~16px   (<app-header>)
1	1	geometry/mis-sized: height ~128px   (<nav>)
1	1	geometry/mis-sized: height ~128px   (<main>)
1	1	geometry/displaced: y (vertical drift) ~8px   (<footer>)
1	1	geometry/displaced: y (vertical drift) ~64px   (<footer>)
1	1	geometry/displaced: y (vertical drift) ~512px   (<footer>)
1	1	geometry/displaced: y (vertical drift) ~32px   (<input>)
1	1	geometry/displaced: y (vertical drift) ~32px   (<footer>)
1	1	geometry/displaced: y (vertical drift) ~32px   (<br>)
1	1	geometry/displaced: y (vertical drift) ~256px   (<ul>)
1	1	geometry/displaced: y (vertical drift) ~256px   (<section>)
1	1	geometry/displaced: y (vertical drift) ~256px   (<img>)
1	1	geometry/displaced: y (vertical drift) ~2048px   (<section>)
1	1	geometry/displaced: y (vertical drift) ~16px   (<ul>)
1	1	geometry/displaced: y (vertical drift) ~16px   (<ticker-hydro-storm>)
1	1	geometry/displaced: y (vertical drift) ~16px   (<main>)
1	1	geometry/displaced: x (horizontal) ~512px   (<main>)
1	1	geometry/displaced: x (horizontal) ~512px   (<li>)
1	1	geometry/displaced: x (horizontal) ~32px   (<lang-translate>)
1	1	geometry/displaced: x (horizontal) ~256px   (<span>)
1	1	geometry/displaced: x (horizontal) ~16px   (<label>)
1	1	display: inline-flex → inline-block   (<button>)
1	1	display: inline → flex   (<iframe>)
1	1	display: inline → block   (<label>)
1	1	display: flex → none   (<body>)
1	1	display: flex → inline   (<span>)
1	1	display: block → flex   (<nav>)
1	1	display: block → flex   (<main>)
1	1	display: block → flex   (<form>)
